Altium Designer Pick and Place Locations
D:\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\SmartParks\Smartparks - Rhino tracker\01_GPS\04_OUTPUT_FILES\Rhino - GPS_V1_PICK & PLACE\Rhino - GPS_V1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       24/05/19
Time:       09:24
Revision:   2a36bf95e564ebfa671aa52bb7328deb37623523
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"TP2","TestPoint:1.2x1.2mm","14.6400","10.3800","14.6400","10.3800","14.6400","10.3800","TopLayer","90","TestPoint"
"TP1","TestPoint:1.2x1.2mm","13.9700","12.0300","13.9700","12.0300","13.9700","12.0300","TopLayer","90","TestPoint"
"D1","SOD-923","5.6100","14.6700","5.6100","14.6700","5.0100","14.6700","BottomLayer","360","ESD9R3.3ST5G"
"CON2","ufl_connector_smd","7.6200","16.6920","7.4700","17.1900","7.6200","15.9420","BottomLayer","0","U.FL-R-SMT-1(10)"
"X1","LFXTAL009678","18.2800","9.3100","18.2800","9.3100","18.2800","8.0600","BottomLayer","90","32.768KHZ"
"U1","S-LGA51","13.9900","9.8000","13.9900","9.8000","11.9900","11.8000","BottomLayer","270","Ublox ZOE-M8B"
"U3","APDS-9306","18.3500","16.1100","18.3500","16.1100","19.0000","16.7600","TopLayer","180","APDS-9306-065"
"U2","uDFN-6","9.4500","10.0000","9.4500","10.0000","9.9500","9.7000","BottomLayer","180","MAX2659"
"T1","SOT-563","15.0400","5.3200","15.0400","5.3200","14.3650","4.8200","BottomLayer","90","NTZD3154NT1G"
"R11","RES0402","9.8700","13.1900","9.8700","13.1900","9.8700","12.6900","BottomLayer","90","0R"
"R10","RES0402","12.6200","5.8100","12.6200","5.8100","13.1200","5.8100","BottomLayer","180","100k"
"R9","RES0402","16.7700","6.2000","16.7700","6.2000","16.7700","5.7000","BottomLayer","90","100k"
"R8","RES0402","12.6100","4.7100","12.6100","4.7100","13.1100","4.7100","BottomLayer","180","100k"
"R7","RES0402","15.0200","3.7800","15.0200","3.7800","15.5200","3.7800","BottomLayer","180","100k"
"R6","RES0402","12.5200","13.2100","12.5200","13.2100","12.5200","12.7100","BottomLayer","90","100k"
"R2","RES0402","10.9800","13.1900","10.9800","13.1900","10.9800","12.6900","BottomLayer","90","100k"
"R1","RES0402","14.2300","6.7900","14.2300","6.7900","13.7300","6.7900","BottomLayer","360","100R"
"L2","IND0402","7.6200","14.2100","7.6200","14.2100","7.6200","13.7400","BottomLayer","90","?"
"L1","IND0402","7.6200","10.1376","7.6200","10.1376","7.6200","9.6676","BottomLayer","90","6.8nH"
"C10","CAP0402","6.2110","13.2230","6.2110","13.2230","6.2110","12.7430","BottomLayer","90","?"
"C9","CAP0402","16.1100","15.1100","16.1100","15.1100","16.1100","14.6300","BottomLayer","90","100nF"
"C8","CAP0402","14.5000","17.4900","14.5000","17.4900","14.9800","17.4900","BottomLayer","180","1uF"
"C7","CAP0402","8.7500","14.2200","8.7500","14.2200","8.7500","14.7000","BottomLayer","270","?"
"C6","CAP0402","14.5094","15.1800","14.5094","15.1800","14.0294","15.1800","BottomLayer","360","100nF"
"C5","CAP0402","14.5094","12.8600","14.5094","12.8600","14.0294","12.8600","BottomLayer","360","1uF"
"C4","CAP0402","14.5094","14.0200","14.5094","14.0200","14.0294","14.0200","BottomLayer","360","100nF"
"C3","CAP0402","14.5094","16.3300","14.5094","16.3300","14.0294","16.3300","BottomLayer","360","1uF"
"C2","CAP0402","7.6200","12.1860","7.6200","12.1860","7.6200","11.7060","BottomLayer","90","470pF"
"C1","CAP0402","10.3500","11.6000","10.3500","11.6000","10.8300","11.6000","BottomLayer","180","33nF"
