Altium Designer Pick and Place Locations
D:\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\SmartParks\Smartparks - Rhino tracker\v2.1\01_GPS\04_OUTPUT_FILES\Rhino - GPS_V2.1_PICK & PLACE\Rhino - GPS_V2.1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       15/07/19
Time:       10:49
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"U6","WSON-8","15.3563","8.0137","15.3563","8.0137","13.4513","10.7137","BottomLayer","270","W25Q16FWZPIQ"
"U1","S-LGA51","4.1900","6.6700","4.1900","6.6700","6.1900","8.6700","BottomLayer","180","Ublox ZOE-M8B"
"CON2","ufl_connector_smd","2.8600","15.9180","3.0100","15.4200","2.8600","16.6680","BottomLayer","180","U.FL-R-SMT-1(10)"
"A1","CGGP.18.2.A.02","9.9350","12.2001","9.9400","10.4000","9.9350","12.2001","TopLayer","0","CGGP.18.2.A.02"
"X1","LFXTAL009678","2.3900","2.5800","2.3900","2.5800","1.1400","2.5800","BottomLayer","360","32.768KHZ"
"U5","VCSP50L1C","22.9100","15.6200","22.9100","15.6200","22.4100","15.1200","BottomLayer","360","BD70522GUL-E2"
"U4","VDFN_2x2","19.5200","16.1400","19.5200","16.1400","20.2700","15.0900","BottomLayer","180","MCP1810T"
"U2","uDFN-6","7.2100","18.4100","7.2100","18.4100","6.7100","18.7100","BottomLayer","360","MAX2659"
"TP4","TestPoint:1.2x1.2mm","21.7500","6.2400","21.7500","6.2400","21.7500","6.2400","BottomLayer","90","TestPoint"
"TP3","TestPoint:1.2x1.2mm","25.7000","9.3000","25.7000","9.3000","25.7000","9.3000","BottomLayer","90","TestPoint"
"TP2","TestPoint:1.2x1.2mm","14.8600","12.1400","14.8600","12.1400","14.8600","12.1400","BottomLayer","90","TestPoint"
"TP1","TestPoint:1.2x1.2mm","7.6200","8.7400","7.6200","8.7400","7.6200","8.7400","BottomLayer","90","TestPoint"
"T1","SOT-563","23.6600","6.3800","23.6600","6.3800","24.1600","5.7050","BottomLayer","180","NTZD3154NT1G"
"R16","RES0402","19.7700","18.8600","19.7700","18.8600","19.7700","19.3600","BottomLayer","270","0R"
"R15","RES0402","18.0400","18.8700","18.0400","18.8700","17.5400","18.8700","BottomLayer","360","0R"
"R14","RES0402","19.7700","12.9900","19.7700","12.9900","19.7700","12.4900","BottomLayer","90","0R"
"R13","RES0402","23.9000","18.3300","23.9000","18.3300","23.4000","18.3300","BottomLayer","360","0R"
"R12","RES0402","21.9000","18.3300","21.9000","18.3300","21.4000","18.3300","BottomLayer","360","0R"
"R11","RES0402","6.7800","16.2400","6.7800","16.2400","6.7800","16.7400","BottomLayer","270","0R"
"R10","RES0402","22.6300","4.6300","22.6300","4.6300","23.1300","4.6300","BottomLayer","180","100k"
"R9","RES0402","22.6500","8.1000","22.6500","8.1000","22.1500","8.1000","BottomLayer","360","100k"
"R8","RES0402","25.9300","6.5500","25.9300","6.5500","25.9300","7.0500","BottomLayer","270","100k"
"R7","RES0402","24.6300","4.6300","24.6300","4.6300","25.1300","4.6300","BottomLayer","180","100k"
"R6","RES0402","6.2700","14.1600","6.2700","14.1600","6.2700","13.6600","BottomLayer","90","100k"
"R5","RES0402","23.4300","17.2200","23.4300","17.2200","22.9300","17.2200","BottomLayer","360","1M"
"R4","RES0402","25.4300","16.5200","25.4300","16.5200","25.9300","16.5200","BottomLayer","180","100R"
"R3","RES0402","1.0300","9.1200","1.0300","9.1200","1.0300","9.6200","BottomLayer","270","10R"
"R2","RES0402","6.4100","10.6500","6.4100","10.6500","6.4100","10.1500","BottomLayer","90","100k"
"R1","RES0402","0.9000","5.6850","0.9000","5.6850","0.9000","5.1850","BottomLayer","90","100R"
"L4","IND2.3X1.7","22.1200","13.3400","22.1200","13.3400","22.9200","13.3400","BottomLayer","180","2.2uH"
"L3","IND0402","1.3000","11.8700","1.3000","11.8700","1.7700","11.8700","BottomLayer","180","22nH"
"L2","IND0402","9.9500","15.1200","9.9500","15.1200","9.9500","15.5900","BottomLayer","270","?"
"L1","IND0402","9.4800","18.7000","9.4800","18.7000","9.0100","18.7000","BottomLayer","360","6.8nH"
"D1","SOD-923","8.4500","14.6500","8.4500","14.6500","7.8500","14.6500","BottomLayer","360","ESD9R3.3ST5G"
"C20","CAP0402","10.1200","5.9300","10.1200","5.9300","10.1200","6.4100","BottomLayer","270","1uF"
"C19","CAP0402","11.2600","5.9400","11.2600","5.9400","11.2600","6.4200","BottomLayer","270","100nF"
"C15","CAP0603","23.7400","10.1900","23.7400","10.1900","24.4900","10.1900","BottomLayer","180","22uF/4V"
"C14","CAP0402","23.4900","11.5800","23.4900","11.5800","23.9700","11.5800","BottomLayer","180","100nF"
"C13","CAP0402","24.6100","14.6400","24.6100","14.6400","24.6100","14.1600","BottomLayer","90","100nF"
"C12","CAP0603","25.9900","14.3700","25.9900","14.3700","25.9900","13.6200","BottomLayer","90","10uF"
"C11","CAP0402","1.3200","10.7500","1.3200","10.7500","1.8000","10.7500","BottomLayer","180","10nF"
"C10","CAP0402","11.5500","14.6500","11.5500","14.6500","12.0300","14.6500","BottomLayer","180","?"
"C7","CAP0402","8.3500","15.5900","8.3500","15.5900","7.8700","15.5900","BottomLayer","360","?"
"C6","CAP0402","7.7300","4.5400","7.7300","4.5400","8.2100","4.5400","BottomLayer","180","100nF"
"C5","CAP0402","7.7400","5.6700","7.7400","5.6700","8.2200","5.6700","BottomLayer","180","1uF"
"C4","CAP0402","6.0500","2.9600","6.0500","2.9600","6.0500","2.4800","BottomLayer","90","100nF"
"C3","CAP0402","7.2000","2.9400","7.2000","2.9400","7.2000","2.4600","BottomLayer","90","1uF"
"C2","CAP0402","9.9500","17.1200","9.9500","17.1200","9.9500","17.6000","BottomLayer","270","470pF"
"C1","CAP0402","8.3500","16.7400","8.3500","16.7400","8.8300","16.7400","BottomLayer","180","33nF"
