Altium Designer Pick and Place Locations
D:\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\SmartParks\Smartparks - Rhino tracker\v2.2\01_GPS\04_OUTPUT_FILES\Rhino - GPS_V2.4_PICK & PLACE\Rhino - GPS_V2.4_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       25/09/19
Time:       10:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"FP_BOT_BL","FIDUCAL","86.7001","2.9000","86.7001","2.9000","86.7001","2.9000","BottomLayer","0","Comment"
"FP_BOT_TR","FIDUCAL","3.2500","76.3500","3.2500","76.3500","3.2500","76.3500","BottomLayer","0","Comment"
"FP_TOP_BL","FIDUCAL","3.4000","2.8500","3.4000","2.8500","3.4000","2.8500","TopLayer","180","Comment"
"FP_TOP_TR","FIDUCAL","86.6501","76.4000","86.6501","76.4000","86.6501","76.4000","TopLayer","180","Comment"
"U7","QFN-12","61.7802","67.3201","61.7800","67.3199","60.7462","67.6466","BottomLayer","45","PE64102"
"C19","CAP0402","60.1100","65.7599","60.1100","65.7599","59.6300","65.7599","BottomLayer","360","1.2pF"
"U8","SOT23-3AL","44.3000","59.5999","44.3000","59.5999","43.3300","58.6299","TopLayer","90","DRV5032FBDBZR"
"C18","CAP0402","46.3300","59.9699","46.3300","59.9699","46.3300","59.4899","TopLayer","90","1uF"
"C17","CAP0402","60.9800","65.8499","60.9800","65.8499","60.9800","65.3699","TopLayer","90","1uF"
"C9","CAP0402","62.1300","65.8499","62.1300","65.8499","62.1300","65.3699","TopLayer","90","100nF"
"U6","DSBGA-6","57.9100","68.1299","57.9100","68.1299","58.3100","67.9299","BottomLayer","90","LMH2110TMX"
"U5","HHM22106C1","56.9600","66.2949","56.9600","66.2949","57.5100","65.7949","BottomLayer","180","HHM22106C1"
"T2","VMT6","45.4200","66.0899","45.4200","66.0899","44.9900","65.5899","TopLayer","360","VT6M1T2CR"
"R20","RES0402","55.2700","67.2999","55.2700","67.2999","55.2700","67.7999","BottomLayer","270","50R"
"R19","RES0402","47.1000","65.2199","47.1000","65.2199","47.1000","64.7199","TopLayer","90","100k"
"R18","RES0402","47.5700","67.8499","47.5700","67.8499","48.0700","67.8499","TopLayer","180","390R"
"R17","RES0402","48.7800","66.1599","48.7800","66.1599","49.2800","66.1599","TopLayer","180","100R"
"R16","RES0402","45.5200","64.6499","45.5200","64.6499","46.0200","64.6499","TopLayer","180","100k"
"R12","RES0402","45.5100","67.8299","45.5100","67.8299","46.0100","67.8299","TopLayer","180","220R"
"C12","CAP0402","50.3400","65.6799","50.3400","65.6799","50.3400","65.1999","TopLayer","90","10nF"
"R11","RES0402","62.0500","60.1699","62.0500","60.1699","61.5500","60.1699","BottomLayer","360","100R"
"R15","RES0402","62.6600","63.3799","62.6600","63.3799","63.1600","63.3799","BottomLayer","180","100R"
"R14","RES0402","64.8100","59.6999","64.8100","59.6999","65.3100","59.6999","TopLayer","180","100R"
"R13","RES0402","62.0500","61.2599","62.0500","61.2599","61.5500","61.2599","BottomLayer","360","100R"
"R10","RES0402","65.3000","58.5699","65.3000","58.5699","65.8000","58.5699","TopLayer","180","100R"
"L2","IND0402","58.5600","65.1999","58.5600","65.1999","58.5600","64.7299","BottomLayer","90","4.7nH"
"CON2","ufl_connector_smd","64.4500","68.8719","64.3000","69.3699","64.4500","68.1219","BottomLayer","360","U.FL-R-SMT-1(10)"
"R9","RES0402","60.3700","70.5899","60.3700","70.5899","60.8700","70.5899","BottomLayer","180","100k"
"C4","CAP0603","42.0800","56.5899","42.0800","56.5899","42.0800","55.8399","TopLayer","90","10uF"
"C3","CAP0402","58.0600","59.4099","58.0600","59.4099","58.5400","59.4099","BottomLayer","180","100nF"
"BAT1","SAFT_LS_14250PFR","52.2020","61.9999","39.4500","61.9999","39.7040","56.9999","TopLayer","360","SAFT LS 14250PFR"
"R2","RES0402","62.1200","58.7099","62.1200","58.7099","62.6200","58.7099","BottomLayer","180","10k"
"R1","RES0402","60.1100","58.7099","60.1100","58.7099","60.6100","58.7099","BottomLayer","180","10k"
"U4","VDFN_2x2","53.9900","60.9999","53.9900","60.9999","53.2400","59.9499","TopLayer","360","MCP1810T"
"U3","APDS-9306","40.6500","69.0999","40.6500","69.0999","41.3000","68.4499","BottomLayer","180","APDS-9306-065"
"U2","Lora_Module_ES0","48.0510","62.1924","48.3900","62.1649","42.1500","57.7899","BottomLayer","360","CMWX1ZZABZ"
"U1","LGA-12","62.4800","56.9399","62.4800","56.9399","61.7300","57.6899","BottomLayer","270","LIS2DW12TR"
"T1","VMT6","58.3100","69.8699","58.3100","69.8699","57.8100","69.4399","BottomLayer","90","VT6M1T2CR"
"R8","RES0402","55.1300","70.1199","55.1300","70.1199","54.6300","70.1199","BottomLayer","360","100R"
"R7","RES0402","56.7100","69.9399","56.7100","69.9399","56.7100","70.4399","BottomLayer","270","100k"
"R6","RES0402","55.8500","61.4799","55.8500","61.4799","55.8500","61.9799","TopLayer","270","0R"
"R5","RES0402","64.1300","56.8599","64.1300","56.8599","64.1300","57.3599","TopLayer","270","100R"
"R4","RES0402","56.4800","59.9099","56.4800","59.9099","56.4800","59.4099","BottomLayer","90","10k"
"R3","RES0402","46.4700","55.3299","46.4700","55.3299","46.9700","55.3299","TopLayer","180","10k"
"D1","LED0603","65.5500","56.3999","65.5500","56.3999","65.5500","55.5999","TopLayer","90","LED RED"
"C16","CAP0402","52.1200","59.4599","52.1200","59.4599","52.1200","59.9399","TopLayer","270","2.2uF 6V3"
"C15","CAP0603","51.7900","62.1199","51.7900","62.1199","51.7900","61.3699","TopLayer","90","4u7/16V"
"C14","CAP0402","59.1400","57.5899","59.1400","57.5899","58.6600","57.5899","BottomLayer","360","100nF"
"C13","CAP0603","58.8700","56.1899","58.8700","56.1899","59.6200","56.1899","BottomLayer","180","10uF"
"C11","CAP0402","60.3700","69.4699","60.3700","69.4699","59.8900","69.4699","BottomLayer","360","100nF"
"C10","CAP0402","50.1200","68.5599","50.1200","68.5599","50.6000","68.5599","TopLayer","180","10nF"
"C8","CAP0402","43.1500","69.7899","43.1500","69.7899","43.6300","69.7899","BottomLayer","180","1uF"
"C7","CAP0402","55.9800","62.1399","55.9800","62.1399","55.9800","62.6199","BottomLayer","270","1uF"
"C6","CAP0402","41.2500","61.1899","41.2500","61.1899","41.2500","61.6699","TopLayer","270","100nF"
