Altium Designer Pick and Place Locations
D:\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\SmartParks\Smartparks - Rhino tracker\v2.2\01_GPS\04_OUTPUT_FILES\Rhino - GPS_V2.5_PICK & PLACE\Rhino - GPS_V2.5_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       04/11/19
Time:       13:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"FP_BOT_BL","FIDUCAL","86.7001","2.9000","86.7001","2.9000","86.7001","2.9000","BottomLayer","0","Comment"
"FP_BOT_TR","FIDUCAL","3.2500","76.3500","3.2500","76.3500","3.2500","76.3500","BottomLayer","0","Comment"
"U7","QFN-12","27.9198","20.1200","27.9200","20.1199","28.9538","20.4466","BottomLayer","45","PE64102"
"C19","CAP0402","29.5900","18.5599","29.5900","18.5599","30.0700","18.5599","BottomLayer","360","1.2pF"
"U6","DSBGA-6","31.7900","20.9299","31.7900","20.9299","31.3900","20.7299","BottomLayer","90","LMH2110TMX"
"U5","HHM22106C1","32.7400","19.0949","32.7400","19.0949","32.1900","18.5949","BottomLayer","180","HHM22106C1"
"R20","RES0402","34.4300","20.0999","34.4300","20.0999","34.4300","20.5999","BottomLayer","270","50R"
"R11","RES0402","27.6500","12.9699","27.6500","12.9699","28.1500","12.9699","BottomLayer","360","100R"
"R15","RES0402","27.0400","16.1799","27.0400","16.1799","26.5400","16.1799","BottomLayer","180","100R"
"R13","RES0402","27.6500","14.0599","27.6500","14.0599","28.1500","14.0599","BottomLayer","360","100R"
"L2","IND0402","31.1400","17.9999","31.1400","17.9999","31.1400","17.5299","BottomLayer","90","4.7nH"
"CON2","ufl_connector_smd","25.2500","21.6719","25.4000","22.1699","25.2500","20.9219","BottomLayer","360","U.FL-R-SMT-1(10)"
"R9","RES0402","29.3300","23.3899","29.3300","23.3899","28.8300","23.3899","BottomLayer","180","100k"
"C3","CAP0402","31.6400","12.2099","31.6400","12.2099","31.1600","12.2099","BottomLayer","180","100nF"
"R2","RES0402","27.5800","11.5099","27.5800","11.5099","27.0800","11.5099","BottomLayer","180","10k"
"R1","RES0402","29.5900","11.5099","29.5900","11.5099","29.0900","11.5099","BottomLayer","180","10k"
"U2","Lora_Module_ES0","41.6490","14.9924","41.3100","14.9649","47.5500","10.5899","BottomLayer","360","CMWX1ZZABZ"
"U1","LGA-12","27.2200","9.7399","27.2200","9.7399","27.9700","10.4899","BottomLayer","270","LIS2DW12TR"
"T1","VMT6","31.3900","22.6699","31.3900","22.6699","30.8900","23.0999","BottomLayer","270","VT6M1T2CR"
"R8","RES0402","34.5700","22.9199","34.5700","22.9199","35.0700","22.9199","BottomLayer","360","100R"
"R7","RES0402","32.9900","22.7399","32.9900","22.7399","32.9900","23.2399","BottomLayer","270","100k"
"R5","RES0402","24.4400","11.3699","24.4400","11.3699","24.9400","11.3699","BottomLayer","360","100R"
"R4","RES0402","33.2200","12.7099","33.2200","12.7099","33.2200","12.2099","BottomLayer","90","10k"
"D1","LED0603","24.0600","9.1399","24.0600","9.1399","24.0600","8.3399","BottomLayer","90","LED RED"
"C14","CAP0402","30.5600","10.3899","30.5600","10.3899","31.0400","10.3899","BottomLayer","360","100nF"
"C13","CAP0603","30.8300","8.9899","30.8300","8.9899","30.0800","8.9899","BottomLayer","180","10uF"
"C11","CAP0402","29.3300","22.2699","29.3300","22.2699","29.8100","22.2699","BottomLayer","360","100nF"
"C7","CAP0402","33.7200","14.9399","33.7200","14.9399","33.7200","15.4199","BottomLayer","270","1uF"
"U7","QFN-12","27.9198","43.7201","27.9200","43.7199","28.9538","44.0466","BottomLayer","45","PE64102"
"C19","CAP0402","29.5900","42.1599","29.5900","42.1599","30.0700","42.1599","BottomLayer","360","1.2pF"
"U6","DSBGA-6","31.7900","44.5299","31.7900","44.5299","31.3900","44.3299","BottomLayer","90","LMH2110TMX"
"U5","HHM22106C1","32.7400","42.6949","32.7400","42.6949","32.1900","42.1949","BottomLayer","180","HHM22106C1"
"R20","RES0402","34.4300","43.6999","34.4300","43.6999","34.4300","44.1999","BottomLayer","270","50R"
"R11","RES0402","27.6500","36.5699","27.6500","36.5699","28.1500","36.5699","BottomLayer","360","100R"
"R15","RES0402","27.0400","39.7799","27.0400","39.7799","26.5400","39.7799","BottomLayer","180","100R"
"R13","RES0402","27.6500","37.6599","27.6500","37.6599","28.1500","37.6599","BottomLayer","360","100R"
"L2","IND0402","31.1400","41.5999","31.1400","41.5999","31.1400","41.1299","BottomLayer","90","4.7nH"
"CON2","ufl_connector_smd","25.2500","45.2719","25.4000","45.7699","25.2500","44.5219","BottomLayer","360","U.FL-R-SMT-1(10)"
"R9","RES0402","29.3300","46.9899","29.3300","46.9899","28.8300","46.9899","BottomLayer","180","100k"
"C3","CAP0402","31.6400","35.8099","31.6400","35.8099","31.1600","35.8099","BottomLayer","180","100nF"
"R2","RES0402","27.5800","35.1099","27.5800","35.1099","27.0800","35.1099","BottomLayer","180","10k"
"R1","RES0402","29.5900","35.1099","29.5900","35.1099","29.0900","35.1099","BottomLayer","180","10k"
"U2","Lora_Module_ES0","41.6490","38.5924","41.3100","38.5649","47.5500","34.1899","BottomLayer","360","CMWX1ZZABZ"
"U1","LGA-12","27.2200","33.3399","27.2200","33.3399","27.9700","34.0899","BottomLayer","270","LIS2DW12TR"
"T1","VMT6","31.3900","46.2699","31.3900","46.2699","30.8900","46.6999","BottomLayer","270","VT6M1T2CR"
"R8","RES0402","34.5700","46.5199","34.5700","46.5199","35.0700","46.5199","BottomLayer","360","100R"
"R7","RES0402","32.9900","46.3399","32.9900","46.3399","32.9900","46.8399","BottomLayer","270","100k"
"R5","RES0402","24.4400","34.9699","24.4400","34.9699","24.9400","34.9699","BottomLayer","360","100R"
"R4","RES0402","33.2200","36.3099","33.2200","36.3099","33.2200","35.8099","BottomLayer","90","10k"
"D1","LED0603","24.0600","32.7399","24.0600","32.7399","24.0600","31.9399","BottomLayer","90","LED RED"
"C14","CAP0402","30.5600","33.9899","30.5600","33.9899","31.0400","33.9899","BottomLayer","360","100nF"
"C13","CAP0603","30.8300","32.5899","30.8300","32.5899","30.0800","32.5899","BottomLayer","180","10uF"
"C11","CAP0402","29.3300","45.8699","29.3300","45.8699","29.8100","45.8699","BottomLayer","360","100nF"
"C7","CAP0402","33.7200","38.5399","33.7200","38.5399","33.7200","39.0199","BottomLayer","270","1uF"
