Altium Designer Pick and Place Locations
D:\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\SmartParks\Smartparks - Rhino tracker\v2.1\02_MCU\04_OUTPUT_FILES\Rhino - MCU_V2.1_PICK & PLACE\Rhino - MCU_V2.1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       15/07/19
Time:       11:02
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"S1","RI-70GP0715","24.1100","15.9600","24.1100","15.9600","29.1100","15.9600","TopLayer","180","RI-70GP0715"
"R11","RES0402","14.1000","12.4000","14.1000","12.4000","14.6000","12.4000","TopLayer","180","100R"
"R15","RES0402","13.1600","6.9700","13.1600","6.9700","12.6600","6.9700","TopLayer","360","100R"
"R14","RES0402","14.3400","14.6300","14.3400","14.6300","14.3400","14.1300","TopLayer","90","100R"
"R13","RES0402","16.5500","11.2500","16.5500","11.2500","17.0500","11.2500","TopLayer","180","100R"
"R10","RES0402","13.2500","14.6300","13.2500","14.6300","13.2500","14.1300","TopLayer","90","100R"
"L2","IND0402","14.7500","5.3800","14.7500","5.3800","14.7500","5.8500","TopLayer","270","4.7nH"
"L1","IND0402","15.8500","5.3800","15.8500","5.3800","15.8500","5.8500","TopLayer","270","4.7nH"
"CON2","ufl_connector_smd","12.4480","3.7000","11.9500","3.8500","13.1980","3.7000","TopLayer","270","U.FL-R-SMT-1(10)"
"C18","CAP0402","15.3000","3.8000","15.3000","3.8000","14.8200","3.8000","TopLayer","360","6.8pF"
"C17","CAP0402","17.2500","4.2800","17.2500","4.2800","17.2500","3.8000","TopLayer","90","6.8pF"
"R9","RES0402","28.1700","3.7600","28.1700","3.7600","28.1700","4.2600","TopLayer","270","100k"
"C4","CAP0603","33.9000","8.0100","33.9000","8.0100","33.9000","7.2600","BottomLayer","90","10uF"
"C3","CAP0402","21.9000","12.0500","21.9000","12.0500","22.3800","12.0500","TopLayer","180","100nF"
"BAT1","SAFT_LS_14250PFR","23.9480","9.3000","36.7000","9.3000","36.4460","4.3000","TopLayer","180","SAFT LS 14250PFR"
"R2","RES0402","14.0500","12.6500","14.0500","12.6500","13.5500","12.6500","BottomLayer","360","10k"
"R1","RES0402","16.8500","13.4900","16.8500","13.4900","16.3500","13.4900","BottomLayer","360","10k"
"U4","VDFN_2x2","29.0000","9.9400","29.0000","9.9400","27.9500","10.6900","TopLayer","270","MCP1810T"
"U3","APDS-9306","34.3800","2.3400","34.3800","2.3400","33.7300","2.9900","BottomLayer","360","APDS-9306-065"
"U2","Lora_Module_ES0","24.8390","8.4725","24.5000","8.5000","30.7400","12.8750","BottomLayer","180","CMWX1ZZABZ"
"U1","LGA-12","13.6700","14.4000","13.6700","14.4000","14.4200","13.6500","BottomLayer","90","LIS2DW12TR"
"TP2","TestPoint:1.2x1.2mm","15.0600","8.3200","15.0600","8.3200","15.0600","8.3200","BottomLayer","90","TestPoint"
"TP1","TestPoint:1.2x1.2mm","16.8216","8.5100","16.8216","8.5100","16.8216","8.5100","BottomLayer","90","TestPoint"
"T1","SOT23-3AL","30.3500","4.7200","30.3500","4.7200","29.3800","5.6900","TopLayer","360","2N7002ET1G"
"R8","RES0402","28.1700","5.7700","28.1700","5.7700","28.1700","5.2700","TopLayer","90","100k"
"R7","RES0402","27.0700","5.7600","27.0700","5.7600","27.0700","5.2600","TopLayer","90","100R"
"R6","RES0402","30.8000","6.8200","30.8000","6.8200","30.3000","6.8200","TopLayer","360","71k5"
"R5","RES0402","16.4000","10.5000","16.4000","10.5000","16.9000","10.5000","BottomLayer","180","100R"
"R4","RES0402","20.3000","12.5500","20.3000","12.5500","20.3000","12.0500","TopLayer","90","10k"
"R3","RES0402","23.9300","12.0800","23.9300","12.0800","24.4300","12.0800","TopLayer","180","10k"
"D1","LED0603","10.6000","14.9000","10.6000","14.9000","10.6000","15.7000","TopLayer","270","LED RED"
"C16","CAP0402","27.4700","11.5500","27.4700","11.5500","27.9500","11.5500","TopLayer","180","2.2uF 6V3"
"C15","CAP0603","33.3800","10.5700","33.3800","10.5700","34.1300","10.5700","TopLayer","180","4u7/16V"
"C14","CAP0402","18.8100","12.9300","18.8100","12.9300","18.3300","12.9300","TopLayer","360","100nF"
"C13","CAP0603","17.0400","15.6300","17.0400","15.6300","16.2900","15.6300","BottomLayer","360","10uF"
"C12","CAP0805","13.3200","8.3200","13.3200","8.3200","13.3200","7.3700","BottomLayer","90","100uF"
"C11","CAP0402","27.0500","3.7200","27.0500","3.7200","27.0500","4.2000","TopLayer","270","10nF"
"C10","CAP0402","17.7600","1.2000","17.7600","1.2000","17.2800","1.2000","TopLayer","360","10nF"
"C9","CAP0402","32.6800","1.8000","32.6800","1.8000","32.6800","2.2800","BottomLayer","270","100nF"
"C8","CAP0402","31.4500","1.8200","31.4500","1.8200","31.4500","1.3400","BottomLayer","90","1uF"
"C7","CAP0402","21.4500","10.4600","21.4500","10.4600","21.4500","10.9400","TopLayer","270","1uF"
"C6","CAP0402","32.4500","8.3000","32.4500","8.3000","32.4500","7.8200","BottomLayer","90","100nF"
"C5","CAP0402","32.4500","11.1000","32.4500","11.1000","32.4500","11.5800","BottomLayer","270","1uF"
"C2","CAP0805","33.5500","6.1500","33.5500","6.1500","34.5000","6.1500","TopLayer","180","100uF"
"C1","CAP0805","33.5500","3.9400","33.5500","3.9400","34.5000","3.9400","TopLayer","180","100uF"
