Altium Designer Pick and Place Locations
D:\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\SmartParks\Smartparks - Rhino tracker\v2.2\02_MCU\04_OUTPUT_FILES\Rhino - MCU_V2.2_PICK & PLACE\Rhino - MCU_V2.2_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       05/08/19
Time:       10:59
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"U6","DSBGA-6","22.9200","2.7800","22.9200","2.7800","22.5200","2.9800","BottomLayer","270","LMH2110TMX"
"U5","HHM22106C1","24.5900","4.3700","24.5900","4.3700","24.0400","4.8700","BottomLayer","360","HHM22106C1"
"T2","VMT6","37.7300","5.2100","37.7300","5.2100","37.3300","4.7600","TopLayer","360","VT6M1T2CR"
"R20","RES0402","25.7000","2.8700","25.7000","2.8700","26.2000","2.8700","BottomLayer","180","50R"
"R19","RES0402","36.0700","5.6300","36.0700","5.6300","36.0700","6.1300","TopLayer","270","100k"
"R18","RES0402","35.5800","3.4500","35.5800","3.4500","35.0800","3.4500","TopLayer","360","100k"
"R17","RES0402","34.3700","5.1400","34.3700","5.1400","33.8700","5.1400","TopLayer","360","100R"
"R16","RES0402","37.6300","6.6500","37.6300","6.6500","37.1300","6.6500","TopLayer","360","100k"
"R12","RES0402","37.6400","3.4700","37.6400","3.4700","37.1400","3.4700","TopLayer","360","71k5"
"C12","CAP0402","29.9300","1.0600","29.9300","1.0600","29.9300","0.5800","BottomLayer","90","10nF"
"S1","RI-70GP0715","31.0100","15.6900","31.0100","15.6900","36.0100","15.6900","BottomLayer","180","RI-70GP0715"
"R11","RES0402","21.1000","12.4000","21.1000","12.4000","21.6000","12.4000","TopLayer","180","100R"
"R15","RES0402","20.1600","6.9700","20.1600","6.9700","19.6600","6.9700","TopLayer","360","100R"
"R14","RES0402","21.3400","14.6300","21.3400","14.6300","21.3400","14.1300","TopLayer","90","100R"
"R13","RES0402","23.5500","11.2500","23.5500","11.2500","24.0500","11.2500","TopLayer","180","100R"
"R10","RES0402","20.2500","14.6300","20.2500","14.6300","20.2500","14.1300","TopLayer","90","100R"
"L2","IND0402","20.6200","5.4100","20.6200","5.4100","20.6200","5.8800","BottomLayer","270","4.7nH"
"L1","IND0402","23.4000","5.4100","23.4000","5.4100","23.4000","5.8800","BottomLayer","270","4.7nH"
"CON2","ufl_connector_smd","18.0720","4.8700","18.5700","5.0200","17.3220","4.8700","BottomLayer","270","U.FL-R-SMT-1(10)"
"C18","CAP0402","21.9800","4.8700","21.9800","4.8700","21.5000","4.8700","BottomLayer","360","6.8pF"
"R9","RES0402","26.7500","1.2000","26.7500","1.2000","26.7500","0.7000","BottomLayer","90","100k"
"C4","CAP0603","41.5900","9.4800","41.5900","9.4800","41.5900","8.7300","BottomLayer","90","10uF"
"C3","CAP0402","28.9000","12.0500","28.9000","12.0500","29.3800","12.0500","TopLayer","180","100nF"
"BAT1","SAFT_LS_14250PFR","30.9480","9.3000","43.7000","9.3000","43.4460","14.3000","TopLayer","180","SAFT LS 14250PFR"
"R2","RES0402","21.0500","12.6500","21.0500","12.6500","20.5500","12.6500","BottomLayer","360","10k"
"R1","RES0402","23.8500","13.4900","23.8500","13.4900","23.3500","13.4900","BottomLayer","360","10k"
"U4","VDFN_2x2","36.0000","9.9400","36.0000","9.9400","34.9500","10.6900","TopLayer","270","MCP1810T"
"U3","APDS-9306","41.3800","2.3400","41.3800","2.3400","40.7300","2.9900","BottomLayer","360","APDS-9306-065"
"U2","Lora_Module_ES0","32.7390","8.4725","32.4000","8.5000","38.6400","12.8750","BottomLayer","180","CMWX1ZZABZ"
"U1","LGA-12","20.6700","14.4000","20.6700","14.4000","21.4200","13.6500","BottomLayer","90","LIS2DW12TR"
"T1","VMT6","25.1503","1.3158","25.1503","1.3158","25.6003","1.7158","BottomLayer","270","VT6M1T2CR"
"R8","RES0402","28.3600","1.0800","28.3600","1.0800","28.8600","1.0800","BottomLayer","180","100R"
"R7","RES0402","23.8003","1.3658","23.8003","1.3658","23.8003","1.8658","BottomLayer","270","100k"
"R6","RES0402","38.5000","9.0500","38.5000","9.0500","38.5000","9.5500","TopLayer","270","0R"
"R5","RES0402","23.4000","10.5000","23.4000","10.5000","23.9000","10.5000","BottomLayer","180","100R"
"R4","RES0402","27.3000","12.5500","27.3000","12.5500","27.3000","12.0500","TopLayer","90","10k"
"R3","RES0402","30.9300","12.0800","30.9300","12.0800","31.4300","12.0800","TopLayer","180","10k"
"D1","LED0603","17.6000","14.9000","17.6000","14.9000","17.6000","15.7000","TopLayer","270","LED RED"
"C16","CAP0402","34.4700","11.5500","34.4700","11.5500","34.9500","11.5500","TopLayer","180","2.2uF 6V3"
"C15","CAP0603","40.3800","10.5700","40.3800","10.5700","41.1300","10.5700","TopLayer","180","4u7/16V"
"C14","CAP0402","25.8100","12.9300","25.8100","12.9300","25.3300","12.9300","TopLayer","360","100nF"
"C13","CAP0603","24.0400","15.6300","24.0400","15.6300","23.2900","15.6300","BottomLayer","360","10uF"
"C11","CAP0402","21.6600","3.0800","21.6600","3.0800","21.6600","2.6000","BottomLayer","90","100nF"
"C10","CAP0402","31.8200","2.6900","31.8200","2.6900","31.3400","2.6900","TopLayer","360","10nF"
"C8","CAP0402","39.6600","2.1500","39.6600","2.1500","39.6600","1.6700","BottomLayer","90","1uF"
"C7","CAP0402","28.1400","10.4600","28.1400","10.4600","28.1400","10.9400","TopLayer","270","1uF"
"C6","CAP0402","40.1500","8.3000","40.1500","8.3000","40.1500","7.8200","BottomLayer","90","100nF"
"C5","CAP0402","40.1500","11.1000","40.1500","11.1000","40.1500","11.5800","BottomLayer","270","1uF"
"C2","CAP0805","40.5500","6.1500","40.5500","6.1500","41.5000","6.1500","TopLayer","180","100uF"
"C1","CAP0805","40.5500","3.9400","40.5500","3.9400","41.5000","3.9400","TopLayer","180","100uF"
