Altium Designer Pick and Place Locations
D:\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\SmartParks\Smartparks - Rhino tracker\03_POWER\04_OUTPUT_FILES\Rhino - Power_V1_PICK & PLACE\Rhino - Power_V1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       24/05/19
Time:       09:33
Revision:   2a36bf95e564ebfa671aa52bb7328deb37623523
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"D2","SOD-323_2L","4.5600","8.9760","4.5600","8.9760","4.5600","10.2260","BottomLayer","270","PMEG4005AEA,115"
"R14","RES0402","13.4400","3.4700","13.4400","3.4700","13.9400","3.4700","BottomLayer","180","100k"
"U4","DFN-10","7.8000","12.8080","7.8000","12.8080","6.4750","11.8080","BottomLayer","90","STBB1-APUR"
"R10","RES0402","10.5300","15.6500","10.5300","15.6500","10.5300","16.1500","BottomLayer","270","100k"
"R9","RES0402","9.4300","15.6500","9.4300","15.6500","9.4300","16.1500","BottomLayer","270","100R"
"R7","RES0402","9.8960","9.0030","9.8960","9.0030","9.8960","8.5030","BottomLayer","90","100k"
"R6","RES0402","11.0300","12.9900","11.0300","12.9900","10.5300","12.9900","BottomLayer","360","0R"
"R5","RES0402","11.0300","14.0900","11.0300","14.0900","10.5300","14.0900","BottomLayer","360","0R"
"R4","RES0402","10.3920","10.5590","10.3920","10.5590","9.8920","10.5590","BottomLayer","360","402k"
"R3","RES0402","11.6300","15.6600","11.6300","15.6600","11.6300","16.1600","BottomLayer","270","0R"
"L1","IND2.3X1.7","4.7400","12.8100","4.7400","12.8100","4.7400","13.6100","BottomLayer","270","2.2uH"
"C9","CAP0402","6.9500","8.1100","6.9500","8.1100","7.4300","8.1100","BottomLayer","180","100nF"
"C8","CAP0805","7.4100","9.8100","7.4100","9.8100","8.3600","9.8100","BottomLayer","180","22u 6.3V"
"C7","CAP0603","8.1070","18.0730","8.1070","18.0730","8.8570","18.0730","BottomLayer","180","4u7/16V"
"C6","CAP0603","7.2300","16.5900","7.2300","16.5900","7.9800","16.5900","BottomLayer","180","4u7/16V"
"C5","CAP0402","6.9600","15.2100","6.9600","15.2100","7.4400","15.2100","BottomLayer","180","100nF"
"U3","SOT23-5","15.9200","9.4700","15.9200","9.4700","14.5700","8.5200","BottomLayer","90","TPS78318DDCT"
"U2","SOT23-5","10.2000","5.5900","10.2000","5.5900","11.5500","6.5400","BottomLayer","270","LP2985-25DBVR"
"U1","LGA-12","15.2300","16.3700","15.2300","16.3700","14.4800","17.1200","BottomLayer","270","LIS2DW12TR"
"R13","RES0402","16.7700","7.1600","16.7700","7.1600","16.2700","7.1600","BottomLayer","360","0R"
"R12","RES0402","17.0600","15.5400","17.0600","15.5400","17.0600","16.0400","BottomLayer","270","10k"
"R11","RES0402","17.8700","13.9600","17.8700","13.9600","17.8700","13.4600","BottomLayer","90","10k"
"R8","RES0402","14.7600","11.6500","14.7600","11.6500","14.2600","11.6500","BottomLayer","360","100R"
"R2","RES0402","16.7700","11.6500","16.7700","11.6500","17.2700","11.6500","BottomLayer","180","100k"
"R1","RES0402","14.5040","18.2400","14.5040","18.2400","14.0040","18.2400","BottomLayer","360","10k"
"D1","SOD-323_2L","12.5800","9.0900","12.5800","9.0900","12.5800","10.3400","BottomLayer","270","BAT54HT1G"
"C14","CAP0402","6.4600","6.0500","6.4600","6.0500","6.4600","5.5700","BottomLayer","90","100nF"
"C13","CAP0402","7.6300","6.0600","7.6300","6.0600","7.6300","5.5800","BottomLayer","90","1uF"
"C12","CAP0402","9.3300","3.4500","9.3300","3.4500","9.8100","3.4500","BottomLayer","180","10nF"
"C11","CAP0402","11.4000","3.4500","11.4000","3.4500","10.9200","3.4500","BottomLayer","360","100nF"
"C10","CAP0402","12.9500","5.1200","12.9500","5.1200","12.9500","5.6000","BottomLayer","270","1uF"
"C4","CAP0402","15.1500","6.6800","15.1500","6.6800","15.1500","6.2000","BottomLayer","90","1uF"
"C3","CAP0402","18.5600","9.4700","18.5600","9.4700","18.5600","9.9500","BottomLayer","270","2.2uF 6V3"
"C2","CAP0402","14.9600","14.6400","14.9600","14.6400","15.4400","14.6400","BottomLayer","180","100nF"
"C1","CAP0603","15.2400","13.2500","15.2400","13.2500","15.9900","13.2500","BottomLayer","180","10uF"
