Altium Designer Pick and Place Locations
D:\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\SmartParks\Smartparks - Rhino tracker\05_MCU_LORA\04_OUTPUT_FILES\Rhino - MCU_V1_PICK & PLACE\Rhino - MCU_V1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       24/05/19
Time:       09:37
Revision:   2a36bf95e564ebfa671aa52bb7328deb37623523
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"R3","RES0402","13.9200","12.5800","13.9200","12.5800","14.4200","12.5800","BottomLayer","180","100R"
"D1","LED0603","17.2546","12.5100","17.2546","12.5100","18.0546","12.5100","BottomLayer","180","LED RED"
"R5","RES0402","13.4700","5.5400","13.4700","5.5400","13.9700","5.5400","BottomLayer","180","100k"
"C1","CAP0402","18.6700","11.6700","18.6700","11.6700","18.6700","11.1900","TopLayer","90","1uF"
"T1","SOT23-3AL","10.7800","5.0800","10.7800","5.0800","9.8100","6.0500","BottomLayer","270","2N7002ET1G"
"R7","RES0402","7.0500","5.2800","7.0500","5.2800","6.5500","5.2800","BottomLayer","360","100k"
"R6","RES0402","8.6300","5.7700","8.6300","5.7700","8.6300","6.2700","BottomLayer","270","100R"
"R4","RES0402","8.1100","4.2300","8.1100","4.2300","8.6100","4.2300","BottomLayer","180","71k5"
"CON2","ufl_connector_smd","16.8980","8.1500","16.4000","8.0000","17.6480","8.1500","BottomLayer","90","U.FL-R-SMT-1(10)"
"C11","CAP0402","13.4900","4.4100","13.4900","4.4100","13.9700","4.4100","BottomLayer","180","10nF"
"C9","CAP0402","7.8400","3.7000","7.8400","3.7000","8.3200","3.7000","TopLayer","180","10nF"
"C6","CAP0402","5.9400","11.8200","5.9400","11.8200","6.4200","11.8200","BottomLayer","180","100nF"
"C5","CAP0402","5.9400","12.9700","5.9400","12.9700","6.4200","12.9700","BottomLayer","180","1uF"
"R2","RES0402","14.8500","16.7000","14.8500","16.7000","14.8500","16.2000","BottomLayer","90","10k"
"C4","CAP0402","15.9800","16.2200","15.9800","16.2200","15.9800","16.7000","BottomLayer","270","100nF"
"R1","RES0402","6.6700","17.9400","6.6700","17.9400","6.6700","18.4400","BottomLayer","270","10K"
"C7","CAP0603","6.2100","14.3500","6.2100","14.3500","6.9600","14.3500","BottomLayer","180","10uF"
"U1","Lora_Module_ES0","10.9610","10.9725","11.3000","11.0000","5.0600","15.3750","TopLayer","360","CMWX1ZZABZ"
